r,c,lc0,lc1,dem,slp,asp,twi,DD5,PAS,AHM
55629.0,75557.0,10.0,10.0,323.0,0.03,236.30900000000003,249.466,695.0,132.0,10.2
58917.0,89280.0,10.0,10.0,398.0,0.016,90.0,408.143,341.0,125.0,-9.4
37738.0,45219.0,10.0,10.0,1245.0,0.5479999999999999,200.912,12.398,534.0,210.0,9.1
46395.0,78234.0,5.0,6.0,102.0,0.031,336.801,214.378,349.0,107.0,-0.7
63683.0,57939.0,14.0,14.0,787.0,0.337,278.53,20.181,493.0,350.0,7.3
44181.0,45680.0,14.0,14.0,1317.0,0.3429999999999999,349.50800000000004,19.818,294.0,345.0,4.6
34621.0,53264.0,5.0,5.0,926.0,0.3379999999999999,170.07299999999998,24.857,439.0,282.0,4.0
72180.0,88759.0,10.0,10.0,400.0,0.09,236.30900000000003,75.46600000000001,660.0,149.0,7.0
17884.0,33647.0,8.0,8.0,1354.0,0.619,311.72900000000004,13.867,254.0,480.0,-1.6
50786.0,79669.0,8.0,8.0,532.0,0.08,351.027,102.17,287.0,166.0,-5.5
58627.0,87473.0,10.0,10.0,454.0,0.021,101.314,352.879,302.0,135.0,-10.8
12207.0,41372.0,8.0,10.0,42.0,0.037,276.344,180.319,512.0,118.0,-10.1
17347.0,45757.0,10.0,10.0,112.0,0.225,64.854,30.16,333.0,135.0,-9.0
32371.0,96314.0,14.0,14.0,60.0,0.106,41.82,64.03399999999999,116.0,53.0,-81.2
53237.0,93040.0,10.0,10.0,192.0,0.113,263.659,75.925,270.0,97.0,-20.3
69103.0,74860.0,10.0,10.0,185.0,0.142,96.71,47.688,989.0,138.0,17.8
40532.0,74006.0,14.0,14.0,634.0,0.076,49.399,88.545,150.0,124.0,-13.0
27075.0,31489.0,8.0,8.0,738.0,0.177,299.577,44.571000000000005,693.0,278.0,7.6
24361.0,80213.0,10.0,10.0,98.0,0.001,270.0,9367.343,111.0,81.0,-49.4
34018.0,10178.0,8.0,10.0,66.0,0.044,201.802,195.0,871.0,347.0,13.3
25791.0,5611.0,8.0,8.0,14.0,0.0409999999999999,233.13,201.884,726.0,173.0,20.5
51566.0,39253.0,5.0,5.0,1290.0,0.052,341.56699999999995,129.085,630.0,111.0,22.0
37053.0,84561.0,14.0,14.0,238.0,0.123,315.0,60.573,121.0,97.0,-33.7
62379.0,76595.0,10.0,10.0,311.0,0.1,294.443,74.44,837.0,138.0,10.8
51603.0,56661.0,11.0,11.0,1196.0,0.067,352.874,149.158,309.0,451.0,1.8
35458.0,69144.0,14.0,14.0,124.0,0.303,200.924,22.425,257.0,82.0,-9.4
35679.0,40417.0,5.0,11.0,255.0,0.118,108.434,57.362,1116.0,106.0,18.9
63336.0,90862.0,10.0,10.0,376.0,0.016,89.99700000000001,408.162,406.0,129.0,-4.5
93628.0,61653.0,8.0,2.0,822.0,0.121,84.09299999999999,79.79,1188.0,177.0,19.6
23522.0,15522.0,8.0,8.0,11.0,0.001,270.0,9104.979,987.0,166.0,18.2
15480.0,18267.0,8.0,8.0,32.0,0.024,149.036,279.98400000000004,504.0,283.0,8.2
31564.0,92039.0,14.0,14.0,113.0,0.1,321.709,74.313,111.0,58.0,-76.4
26181.0,80296.0,10.0,10.0,91.0,0.114,56.888000000000005,134.599,108.0,87.0,-45.7
51225.0,35696.0,14.0,14.0,1554.0,0.599,5.988,11.354,273.0,354.0,7.7
86486.0,56080.0,11.0,11.0,705.0,0.005,44.989,1342.484,1103.0,172.0,23.3
81054.0,51743.0,6.0,2.0,1157.0,0.345,179.30900000000003,33.437,807.0,257.0,18.5
35454.0,46335.0,8.0,10.0,906.0,0.502,112.948,15.731,686.0,188.0,11.2
22771.0,33860.0,6.0,6.0,180.0,0.127,281.309,53.363,860.0,153.0,7.2
8054.0,39944.0,10.0,10.0,25.0,0.037,83.65899999999999,180.287,366.0,112.0,-9.7
18795.0,39633.0,8.0,8.0,558.0,0.15,19.44,45.283,488.0,171.0,-1.4
44702.0,95640.0,10.0,10.0,11.0,0.021,348.69199999999995,352.916,206.0,73.0,-37.5
8187.0,18708.0,14.0,14.0,328.0,0.037,153.434,182.527,373.0,197.0,12.2
22348.0,27632.0,8.0,8.0,106.0,0.1169999999999999,47.862,144.74200000000002,960.0,173.0,14.5
9110.0,29996.0,8.0,6.0,109.0,0.067,277.125,101.249,728.0,207.0,7.8
41219.0,46641.0,5.0,5.0,708.0,0.084,290.224,80.627,600.0,164.0,3.2
58936.0,60942.0,8.0,8.0,1128.0,0.283,270.0,26.454,625.0,275.0,6.1
61322.0,58410.0,14.0,14.0,1416.0,0.423,169.796,17.704,471.0,339.0,6.5
56390.0,58324.0,14.0,14.0,1790.0,0.492,151.69899999999998,23.818,323.0,443.0,2.9
68707.0,79753.0,10.0,10.0,265.0,0.095,195.254,90.457,817.0,145.0,13.1
60681.0,74913.0,10.0,10.0,252.0,0.042,11.309,192.717,900.0,131.0,13.1
11159.0,21726.0,8.0,8.0,157.0,0.096,7.431,70.385,453.0,134.0,16.0
59114.0,63921.0,8.0,8.0,857.0,0.129,69.227,52.636,566.0,176.0,4.2
10478.0,33552.0,14.0,14.0,923.0,0.408,209.962,16.639,473.0,288.0,0.3
38326.0,51292.0,10.0,8.0,646.0,0.155,82.303,48.181,694.0,191.0,8.3
27425.0,45500.0,10.0,10.0,604.0,0.125,3.813,59.832,657.0,102.0,14.2
47684.0,48145.0,10.0,5.0,1479.0,0.557,207.139,12.208,505.0,384.0,6.7
69347.0,48567.0,14.0,14.0,1829.0,0.314,173.157,29.231,317.0,498.0,9.3
88497.0,61015.0,8.0,10.0,599.0,0.065,108.46,103.311,1287.0,136.0,26.4
75192.0,95568.0,10.0,10.0,372.0,0.14,112.75,48.566,593.0,150.0,3.4
58032.0,53336.0,6.0,6.0,1212.0,0.436,151.476,17.18,378.0,366.0,6.8
8164.0,32003.0,9.0,9.0,486.0,0.054,122.471,322.023,476.0,247.0,-0.7
32199.0,92239.0,14.0,14.0,248.0,0.2269999999999999,351.57300000000004,36.001,100.0,66.0,-74.6
62744.0,83629.0,10.0,10.0,422.0,0.018,153.435,365.057,477.0,145.0,0.2
78261.0,79730.0,10.0,10.0,288.0,0.065,71.565,103.253,1084.0,140.0,19.0
60523.0,97797.0,10.0,10.0,228.0,0.254,258.69,26.681,296.0,106.0,-14.7
14759.0,40992.0,9.0,9.0,116.0,0.039,71.566,172.09400000000002,518.0,144.0,-9.4
36624.0,63702.0,10.0,10.0,229.0,0.07,273.366,111.351,402.0,82.0,-4.3
21825.0,47155.0,9.0,8.0,552.0,0.119,167.905,57.012,441.0,186.0,-0.5
24301.0,18396.0,11.0,11.0,26.0,0.0289999999999999,261.869,230.88,977.0,151.0,20.1
13056.0,25419.0,8.0,8.0,24.0,0.047,45.0,182.30900000000003,548.0,124.0,15.8
49388.0,87878.0,10.0,8.0,117.0,0.141,270.0,52.909,256.0,79.0,-23.0
39657.0,31696.0,6.0,6.0,911.0,0.104,357.709,65.25,592.0,324.0,8.6
67855.0,50857.0,10.0,1.0,1019.0,0.168,147.094,40.313,735.0,261.0,15.8
76227.0,62868.0,11.0,11.0,377.0,0.06,213.693,136.328,1198.0,138.0,20.6
54160.0,95611.0,10.0,9.0,157.0,0.001,0.0,8411.832,249.0,92.0,-21.7
34480.0,17239.0,14.0,14.0,1277.0,0.629,76.607,15.851,461.0,470.0,6.3
11462.0,37914.0,9.0,9.0,326.0,0.013,341.564,516.252,504.0,188.0,-5.1
67452.0,95325.0,10.0,10.0,330.0,0.129,227.602,63.101000000000006,429.0,129.0,-3.8
35573.0,29429.0,14.0,14.0,1538.0,0.687,186.263,9.895,521.0,256.0,10.6
68859.0,65801.0,12.0,12.0,246.0,0.001,90.0,9846.916,1193.0,141.0,19.3
40953.0,75362.0,8.0,10.0,585.0,0.035,315.002,192.51,159.0,122.0,-11.8
56246.0,87337.0,10.0,10.0,457.0,0.013,71.564,516.5419999999999,259.0,131.0,-14.4
37265.0,95989.0,14.0,11.0,84.0,0.092,108.434,73.752,136.0,62.0,-60.9
68211.0,46117.0,10.0,10.0,1621.0,0.258,194.931,26.29,386.0,518.0,9.5
40943.0,56966.0,10.0,6.0,144.0,0.03,56.309,406.37,785.0,156.0,8.1
76062.0,71081.0,11.0,11.0,338.0,0.021,348.685,320.208,1081.0,147.0,19.0
13353.0,28486.0,14.0,14.0,537.0,0.361,16.762,18.833,693.0,234.0,6.5
15619.0,28088.0,5.0,5.0,21.0,0.084,101.309,98.981,833.0,216.0,10.0
28883.0,87162.0,14.0,14.0,196.0,0.143,115.821,55.062,101.0,78.0,-58.5
39837.0,86340.0,14.0,14.0,73.0,0.039,71.565,230.33900000000003,152.0,68.0,-36.7
53808.0,54046.0,8.0,8.0,1563.0,0.364,280.539,34.33,299.0,422.0,2.5
32903.0,37905.0,6.0,6.0,830.0,0.5489999999999999,305.73900000000003,13.646,686.0,198.0,13.0
19548.0,39484.0,10.0,10.0,959.0,0.087,87.273,77.653,407.0,214.0,-1.0
13466.0,38147.0,5.0,5.0,268.0,0.05,204.444,135.113,511.0,177.0,-4.4
61759.0,85923.0,10.0,10.0,432.0,0.135,227.489,50.144,398.0,137.0,-4.2
4599.0,30807.0,8.0,8.0,67.0,0.12,271.974,56.262,275.0,127.0,6.1
87637.0,63024.0,8.0,2.0,693.0,0.059,50.71,114.867,1226.0,134.0,24.8
54491.0,98240.0,14.0,14.0,119.0,0.001,0.0,7901.005999999999,211.0,88.0,-26.0
69967.0,86334.0,5.0,4.0,377.0,0.178,232.594,42.029,694.0,139.0,8.4
5799.0,33174.0,8.0,8.0,288.0,0.1889999999999999,250.769,56.249,281.0,147.0,-2.9
59405.0,85350.0,10.0,10.0,496.0,0.179,291.801,41.756,316.0,145.0,-8.6
28721.0,84478.0,14.0,14.0,88.0,0.195,203.838,34.727,133.0,76.0,-44.0
30229.0,48478.0,6.0,6.0,517.0,0.018,206.567,439.44,791.0,90.0,16.6
36697.0,49136.0,6.0,6.0,569.0,0.063,11.309,151.175,727.0,165.0,9.2
53965.0,59298.0,10.0,10.0,1330.0,0.374,251.161,25.032,422.0,352.0,3.3
51358.0,92961.0,14.0,10.0,142.0,0.063,78.69,128.477,267.0,85.0,-23.3
72393.0,55458.0,6.0,2.0,707.0,0.047,127.875,143.186,1053.0,177.0,16.2
36904.0,57719.0,6.0,6.0,89.0,0.013,288.436,599.687,720.0,153.0,4.7
51766.0,88733.0,14.0,14.0,229.0,0.128,240.945,52.856,259.0,95.0,-20.7
54286.0,53316.0,14.0,14.0,1642.0,0.4029999999999999,321.709,20.849,274.0,426.0,2.3
70893.0,89066.0,10.0,10.0,408.0,0.026,198.436,258.142,617.0,147.0,5.6
44490.0,42045.0,8.0,6.0,689.0,0.297,252.072,22.842,796.0,182.0,13.3
33570.0,9803.0,8.0,8.0,112.0,0.14,210.379,48.566,881.0,381.0,12.3
88784.0,64540.0,8.0,8.0,576.0,0.099,270.016,68.081,1275.0,127.0,25.2
35209.0,68497.0,8.0,8.0,145.0,0.165,40.914,41.123000000000005,253.0,79.0,-11.4
33860.0,14952.0,7.0,7.0,403.0,0.16,16.557000000000002,42.295,782.0,226.0,16.4
33245.0,86899.0,14.0,14.0,261.0,0.037,173.66,262.23,101.0,85.0,-50.4
9919.0,42469.0,10.0,10.0,13.0,0.001,18.434,6802.394,290.0,113.0,-10.4
46049.0,65118.0,10.0,10.0,343.0,0.044,338.199,167.05200000000002,564.0,126.0,3.6
80696.0,53260.0,14.0,14.0,1809.0,0.508,359.06,21.974,482.0,419.0,10.9
62024.0,97853.0,10.0,10.0,239.0,0.07,356.63300000000004,95.868,320.0,106.0,-12.9
11777.0,27253.0,5.0,5.0,181.0,0.263,161.565,29.982,642.0,171.0,9.9
29505.0,81316.0,14.0,14.0,41.0,0.147,73.61,50.75899999999999,135.0,88.0,-33.3
16843.0,6780.0,6.0,6.0,9.0,0.017,314.999,463.223,515.0,225.0,14.5
79501.0,74491.0,6.0,11.0,264.0,0.091,149.933,81.95100000000001,1168.0,135.0,21.6
56716.0,59256.0,14.0,14.0,1263.0,0.527,218.58900000000003,15.515999999999998,578.0,268.0,6.6
34047.0,90802.0,14.0,14.0,452.0,0.154,355.366,61.04600000000001,93.0,77.0,-66.3
52891.0,44868.0,6.0,6.0,1391.0,0.444,123.541,18.404,633.0,209.0,16.1
54925.0,93824.0,10.0,10.0,290.0,0.118,50.71,57.434,256.0,105.0,-19.4
20156.0,10332.0,6.0,6.0,10.0,0.013,71.565,783.908,838.0,185.0,18.9
54457.0,88344.0,10.0,10.0,398.0,0.083,180.0,103.132,265.0,113.0,-16.6
34401.0,5747.0,6.0,6.0,6.0,0.042,11.309,197.96400000000003,801.0,266.0,17.4
45734.0,89821.0,14.0,14.0,108.0,0.071,234.462,94.892,245.0,62.0,-34.0
25630.0,78062.0,10.0,10.0,131.0,0.147,319.573,50.719,116.0,81.0,-43.6
46176.0,42871.0,6.0,3.0,791.0,0.49,139.134,17.526,748.0,216.0,12.3
57295.0,84483.0,10.0,10.0,512.0,0.196,83.927,38.06,286.0,142.0,-10.0
31462.0,54881.0,9.0,9.0,183.0,0.373,172.954,18.205,437.0,117.0,3.7
14419.0,32080.0,8.0,8.0,402.0,0.018,116.566,560.266,640.0,204.0,6.1
46311.0,52397.0,14.0,14.0,1713.0,0.855,284.374,8.756,261.0,377.0,2.9
86103.0,76068.0,12.0,12.0,825.0,0.008,270.007,819.789,894.0,172.0,14.9
19751.0,11949.0,8.0,8.0,41.0,0.063,336.801,107.183,813.0,193.0,17.9
89067.0,80977.0,10.0,10.0,452.0,0.068,345.97,99.111,1169.0,135.0,19.7
95799.0,73627.0,7.0,3.0,563.0,0.013,251.555,599.951,1282.0,109.0,24.7
42248.0,88968.0,14.0,14.0,142.0,0.14,168.023,48.395,172.0,66.0,-41.1
93140.0,58220.0,10.0,7.0,1519.0,0.108,147.528,81.744,833.0,258.0,15.5
19336.0,19310.0,8.0,8.0,358.0,0.218,139.635,31.098000000000003,604.0,255.0,12.0
95118.0,64862.0,6.0,6.0,903.0,0.062,176.187,141.799,1101.0,144.0,19.7
35725.0,30806.0,14.0,14.0,1675.0,0.441,315.0,16.96,315.0,343.0,6.5
56104.0,98911.0,14.0,14.0,152.0,0.001,90.0,8881.835,221.0,92.0,-24.0
19836.0,48975.0,10.0,8.0,33.0,0.107,215.536,111.555,272.0,134.0,-9.1
28053.0,43386.0,5.0,9.0,698.0,0.129,88.152,52.636,701.0,108.0,15.0
37458.0,64365.0,10.0,10.0,249.0,0.158,203.198,56.722,390.0,82.0,-4.7
14128.0,39941.0,5.0,5.0,93.0,0.091,300.068,74.361,525.0,135.0,-9.3
24790.0,51178.0,14.0,14.0,654.0,0.1969999999999999,81.528,34.356,376.0,156.0,0.0
52284.0,49515.0,5.0,5.0,691.0,0.016,359.995,408.249,860.0,225.0,14.2
88580.0,87649.0,10.0,10.0,509.0,0.07,225.0,96.2,1054.0,155.0,15.8
80548.0,49198.0,10.0,8.0,1833.0,0.441,225.0,17.877,425.0,454.0,10.6
27611.0,83726.0,14.0,14.0,106.0,0.213,162.97899999999998,38.364,118.0,81.0,-46.8
43780.0,61068.0,10.0,10.0,243.0,0.065,34.695,154.364,735.0,128.0,4.4
84231.0,82801.0,10.0,10.0,420.0,0.276,326.07,28.606,1093.0,147.0,18.1
37043.0,47551.0,10.0,14.0,924.0,0.5429999999999999,188.378,17.504,572.0,233.0,6.4
49303.0,81181.0,10.0,10.0,401.0,0.062,93.814,108.597,250.0,153.0,-8.2
51027.0,57134.0,14.0,14.0,1347.0,1.078,98.443,6.95,407.0,337.0,2.9
57192.0,40573.0,8.0,8.0,686.0,0.018,63.43,870.8760000000001,892.0,90.0,35.5
16067.0,45720.0,8.0,8.0,63.0,0.243,262.146,36.89,275.0,137.0,-11.0
59419.0,59308.0,10.0,10.0,793.0,0.074,26.565,91.263,681.0,251.0,8.5
40676.0,44737.0,10.0,10.0,1031.0,0.1669999999999999,34.875,40.586,528.0,202.0,4.9
94195.0,68129.0,8.0,2.0,812.0,0.126,172.405,64.934,1155.0,136.0,20.0
43512.0,89930.0,14.0,14.0,145.0,0.166,292.066,40.892,195.0,66.0,-40.3
23643.0,8161.0,6.0,7.0,13.0,0.039,288.434,172.09,732.0,165.0,20.7
67215.0,95701.0,10.0,10.0,337.0,0.03,123.685,249.587,421.0,127.0,-4.4
53767.0,52242.0,8.0,8.0,1491.0,0.3229999999999999,210.203,23.204,485.0,351.0,5.4
26673.0,31205.0,9.0,6.0,515.0,0.155,172.303,55.243,831.0,241.0,10.1
32858.0,29133.0,14.0,14.0,452.0,0.0819999999999999,293.963,91.328,917.0,162.0,17.5
82800.0,60177.0,12.0,12.0,794.0,0.106,38.656,70.245,1029.0,166.0,20.9
54950.0,54761.0,10.0,10.0,1236.0,0.268,78.34,25.379,460.0,294.0,6.0
41201.0,91065.0,10.0,8.0,106.0,0.095,293.198,97.559,175.0,63.0,-48.3
