R,C,PAS,AHM,DD5
22,10,179.06451,13.922581,410.41934
22,11,202.51613,12.122581,374.32257000000004
22,12,200.83871000000002,12.109677,364.80646
22,13,197.83871000000002,12.17742,354.32257000000004
22,14,190.3871,12.719355,362.8387
22,15,155.12903,15.922581,408.09677
22,16,144.83871000000002,16.735483,414.6129
22,17,145.54838999999998,16.341935999999997,407.9355
22,18,135.48387,17.796774,424.12903
22,19,148.45161000000002,15.893548000000001,411.2903
22,20,112.51613,22.019356,470.32257000000004
22,21,103.77419,23.967741,481.2903
22,22,101.3871,24.464516,491.25805999999994
22,23,101.129036,24.477419,494.4516
22,24,101.96774,24.316129999999998,494.9355
22,25,100.129036,24.780645,495.48385999999994
22,26,98.83870999999999,24.987097,492.67742999999996
22,27,99.90323000000001,24.874192999999998,491.0645
22,28,100.51613,24.693548,485.9355
22,29,100.6129,24.63871,488.25805999999994
22,30,100.70968,24.780645,486.0645
22,31,101.80645,24.035484,481.0
22,32,102.3871,23.754839,475.5484
22,33,102.451614,23.906451999999998,468.96774000000005
22,34,102.16129000000001,23.880646,470.3871
22,35,100.67742,24.048388,472.9355
22,36,101.48387,23.912903,471.35483
22,37,100.70968,24.116129,468.80645999999996
23,0,158.0,19.790323,555.6774
23,1,169.06451,18.725807,539.6129
23,2,161.87097,19.36129,543.6451400000001
23,3,164.96774,18.596775,532.129
23,4,167.74193,18.141935,515.9032
23,5,171.90323,17.28387,505.2903
23,6,171.74193,17.067741,506.74194000000006
23,7,176.29033,15.935483999999999,482.1613
23,8,180.19353999999998,15.048388000000001,463.7742
23,9,181.90323,14.354838,443.6129
23,10,204.67741,12.296774000000001,397.9355
23,11,201.06451,12.725806,403.74194
23,12,208.06451,12.03871,382.48386
23,13,189.12903,13.16129,386.09677
23,14,175.12903,14.054839000000001,394.58066
23,15,157.29033,15.277419,403.35483
23,16,186.41936,12.583871,370.35483
23,17,176.19353999999998,13.264516,376.41934
23,18,151.25807,15.587097,401.8387
23,19,125.87096399999999,19.019356,440.2903
23,20,110.83871,22.232257999999998,476.5484
23,21,115.0,21.583872,483.09677
23,22,103.870964,23.641935,489.35483
23,23,101.22581,24.335484,494.7742
23,24,103.19355,24.006453,499.09677
23,25,101.129036,24.56129,498.87097
23,26,99.548386,24.7,502.2258
23,27,100.16129000000001,24.674194,506.90323
23,28,101.03226,24.135485,507.51614000000006
23,29,100.58064,24.432259,499.09677
23,30,101.32258,24.103226,490.2258
23,31,102.0,24.032259,485.12903
23,32,103.6129,23.829033,489.2258
23,33,102.3871,23.896774,488.87097
23,34,102.67742,23.603226,483.8387
23,35,101.32258,23.929031,480.80645999999996
23,36,101.935486,23.664516,481.64517
23,37,101.90323000000001,23.687098000000002,487.90323
23,38,100.41936,24.17742,490.87097
23,39,,,
23,40,,,
23,41,,,
24,0,159.16128999999998,19.641935,557.5806
24,1,168.96774,18.567741,547.0
24,2,156.2258,19.877419,552.9355
24,3,153.45161000000002,20.096775,557.3548599999999
24,4,164.19353999999998,18.390322,538.6451400000001
24,5,172.74193,17.012903,514.6129
24,6,171.51613,16.770967000000002,501.64517
24,7,185.6129,14.935483999999999,469.0
24,8,188.2258,14.254839000000002,451.96774000000005
24,9,194.58064,13.680645000000002,441.25805999999994
24,10,200.45161000000002,12.954839,424.09677
24,11,197.12903,13.235484,422.51614000000006
24,12,194.0,13.245160999999998,414.51614
24,13,176.16128999999998,14.425806,420.64517
24,14,180.12903,14.241935999999999,424.67742999999996
24,15,179.83871000000002,13.690323000000001,397.67742999999996
24,16,182.12903,12.922581,381.87097
24,17,177.06451,13.106452,380.58066
24,18,153.48387,15.267742000000002,403.03226
24,19,160.93549,14.458064000000002,395.7097
24,20,137.87097,17.28387,437.03225999999995
24,21,110.74193600000001,22.161291000000002,484.41934000000003
24,22,110.96773999999999,22.316129999999998,496.87097
24,23,105.25806399999999,23.629032000000002,502.7742
24,24,103.83870999999999,23.880646,504.80645999999996
24,25,105.51613,23.529032,505.3871
24,26,102.96774,24.2,509.2258
24,27,103.064514,24.26129,512.5806
24,28,102.51613,24.21613,510.41934000000003
24,29,103.0,23.977419,503.35483
24,30,104.96773999999999,23.67742,504.2258
24,31,104.741936,23.432259,497.41934000000003
24,32,104.64516400000001,23.387096,496.0
24,33,103.6129,23.406451999999998,498.9355
24,34,102.935486,23.445162,496.51614000000006
24,35,102.96774,23.383871,504.8387
24,36,102.77419,23.503225,503.51614000000006
24,37,101.741936,23.86129,503.12903
24,38,100.935486,24.0,496.6129
24,39,100.96774,23.948387,497.25805999999994
24,40,100.77419,23.864515,503.0645
24,41,101.064514,23.993547,497.5484
24,42,101.03226,23.990322,496.32257000000004
24,43,,,
24,44,,,
25,0,150.93549,20.374192999999998,568.3226
25,1,154.70967,19.8,565.6129
25,2,162.29033,18.958064999999998,555.5484
25,3,157.35484,19.477419,552.9032
25,4,163.29033,18.580645,538.5806
25,5,174.54838999999998,16.816129999999998,511.7742
25,6,178.2258,16.351612,501.58065999999997
25,7,185.48387,15.177420000000001,479.1613
25,8,187.51613,14.867742000000002,477.48385999999994
25,9,194.96774,13.677420000000001,448.2258
25,10,196.35484,13.580646,441.64517
25,11,199.3871,13.629032,458.3871
25,12,191.54838999999998,14.012903,457.25805999999994
25,13,182.83871000000002,14.535484,459.48385999999994
25,14,176.6129,14.629032,442.41934000000003
25,15,174.25807,14.396773999999999,423.1613
25,16,181.32259,12.858065,380.09677
25,17,180.48387,12.880645,383.4516
25,18,162.80646000000002,14.312903,399.6129
25,19,138.0,17.26129,438.0
25,20,130.83871000000002,18.429031,458.6129
25,21,117.29032,20.803226000000002,485.7097
25,22,115.67742,21.003225,486.96774000000005
25,23,107.93548600000001,22.648388,502.2903
25,24,104.58064,23.616129,507.1613
25,25,105.96773999999999,23.306452,508.35483
25,26,105.51613,23.532259,512.80646
25,27,105.93548600000001,23.316129999999998,513.7742
25,28,104.83870999999999,23.748386,514.0
25,29,105.6129,23.183870000000002,512.4516
25,30,105.645164,23.183870000000002,503.51614000000006
25,31,106.16129,23.009678,505.1613
25,32,105.74193600000001,23.016129,511.35483
25,33,105.22581000000001,23.116129,509.4516
25,34,105.0,23.209677,509.51614000000006
25,35,102.96774,23.4,516.5484
25,36,102.58064,23.641935,517.4839
25,37,101.870964,23.664516,518.9355
25,38,102.03226,23.325806,513.0323
25,39,100.870964,23.541935000000002,514.2258
25,40,100.67742,23.725807,506.35483
25,41,100.67742,23.980644,499.0
25,42,99.03226,23.858065,500.96774000000005
25,43,100.51613,23.745161,508.80645999999996
25,44,103.51613,23.419355,508.58065999999997
25,45,,,
26,1,162.16128999999998,18.8,553.80646
26,2,166.32259,18.303226000000002,544.5161
26,3,161.70967,18.703226,540.5806
26,4,166.64516,18.054838,535.3871
26,5,164.0,18.051613,544.129
26,6,170.90323,17.06129,526.9677
26,7,178.12903,15.993548,504.12903
26,8,186.25807,14.906451,480.03225999999995
26,9,183.80646000000002,15.222581,489.5484
26,10,198.70967,13.741935999999999,460.9355
26,11,203.58064,13.422581,461.4516
26,12,201.6129,13.548388000000001,465.09677
26,13,202.19353999999998,13.183871,439.7097
26,14,184.67741,14.564516000000001,471.32257000000004
26,15,169.09677,15.287097,459.9355
26,16,182.80646000000002,13.154839,409.41934
26,17,185.35484,12.374193,374.58066
26,18,153.6129,15.3,422.96774000000005
26,19,154.90323,15.145162,425.7097
26,20,146.06451,16.232257999999998,439.9355
26,21,132.96774,18.003225,468.0645
26,22,117.29032,20.545162,489.12903
26,23,105.80645,22.948387,502.80645999999996
26,24,107.06451399999999,22.903225,507.1613
26,25,108.0,22.670967,511.4516
26,26,108.22581000000001,22.67742,518.5806
26,27,107.12903600000001,22.912903,520.25806
26,28,106.354836,23.064516,519.4839
26,29,106.41936000000001,22.870967999999998,515.6451400000001
26,30,106.3871,22.829033,523.9032
26,31,106.6129,22.767742000000002,522.74194
26,32,105.6129,22.754839,519.25806
26,33,105.54838600000001,22.958064999999998,519.7742
26,34,105.19355,23.090322,519.3226
26,35,103.19355,22.890322,536.0968
26,36,102.870964,23.258064,529.3871
26,37,101.67742,23.441935,527.0968
26,38,101.129036,23.35484,522.5806
26,39,100.83870999999999,23.432259,520.129
26,40,100.80645,23.380646,527.5161
26,41,99.32258,23.448387,518.25806
26,42,98.51613,23.719355,513.871
26,43,101.064514,23.512903,514.9355
26,44,103.548386,23.364515,513.1613
26,45,103.96774,23.23871,516.8387
26,46,105.48387,23.083872,518.6774
27,1,144.45161000000002,20.883871,572.0968
27,2,160.06451,18.874192999999998,545.6129
27,3,171.48387,17.464516,529.6774
27,4,161.7742,18.396774,546.3871
27,5,158.41936,18.667742,554.6129
27,6,158.83871000000002,18.73871,559.25806
27,7,162.7742,18.035484,549.8387
27,8,165.0,17.612904,542.4839
27,9,174.29033,16.222579999999997,512.0968
27,10,198.3871,13.870968,460.3871
27,11,211.41936,12.887096000000001,460.0
27,12,215.0,12.712903,457.48385999999994
27,13,204.29033,13.587097,477.74194000000006
27,14,187.74193,14.119354999999999,466.7097
27,15,180.16128999999998,13.9,440.35483
27,16,164.3871,14.416129000000002,427.2903
27,17,168.32259,13.893548000000001,422.12903
27,18,161.2258,14.212903,418.9355
27,19,152.90323,15.145162,428.5484
27,20,140.35484,16.864515,453.87097
27,21,128.96774,18.758064,487.2258
27,22,127.80645,19.035484,491.67742999999996
27,23,120.77418999999999,20.196773999999998,500.87097
27,24,114.25806399999999,21.351612,511.67742999999996
27,25,110.22581000000001,22.21613,518.5806
27,26,108.93548600000001,22.267742000000002,522.1613
27,27,110.45161399999999,21.880646,523.9677
27,28,108.45161399999999,22.229032999999998,528.7742
27,29,107.41936000000001,22.551613,528.2258
27,30,107.32258,22.512903,534.8387
27,31,105.58063999999999,22.787096,537.0323
27,32,105.48387,22.741936,542.2258
27,33,105.54838600000001,22.893549,544.0323
27,34,104.29032,22.929031,544.1613
27,35,103.451614,22.280645,544.9032
27,36,103.0,22.970968,540.6774
27,37,101.58064,23.07742,538.29034
27,38,101.58064,22.887096,543.2258
27,39,101.129036,23.016129,542.74194
27,40,100.258064,23.141935,534.29034
27,41,98.58064,23.2,525.4516
27,42,98.741936,23.435484,522.6451400000001
27,43,99.03226,23.17742,531.0968
27,44,99.51613,23.529032,526.9355
27,45,102.32258,23.390322,527.70966
27,46,103.3871,23.335484,528.9677
27,47,,,
28,1,158.29033,18.967741,551.7742
28,2,164.87097,18.245161,543.4839
28,3,164.09677,18.232257999999998,543.74194
28,4,162.7742,18.348387,545.9032
28,5,173.58064,16.977419,545.3548599999999
28,6,159.83871000000002,18.432259,561.74194
28,7,160.51613,18.067741,559.19354
28,8,167.93549,17.141935,536.9677
28,9,174.45161000000002,16.458064999999998,528.0968
28,10,191.7742,14.751613,497.9355
28,11,208.70967,13.312903,471.41934000000003
28,12,201.93549,13.912903,492.90323
28,13,184.16128999999998,15.16129,508.8387
28,14,180.45161000000002,15.216129,501.96774000000005
28,15,171.09677,15.625807,500.90323
28,16,173.3871,14.012903,452.1613
28,17,174.06451,12.870968,412.9355
28,18,155.96774,14.522581,426.2903
28,19,141.12903,16.725807,461.48385999999994
28,20,141.7742,16.619354,465.0
28,21,133.45161000000002,18.129032000000002,488.90323
28,22,124.87096399999999,19.593548000000002,499.35483
28,23,121.03226000000001,20.341935999999997,507.2258
28,24,116.32258,20.929031,514.4194
28,25,117.09676999999999,20.616129,513.5484
28,26,113.03226000000001,21.351612,520.5806
28,27,110.96773999999999,21.712904,528.80646
28,28,109.06451399999999,22.029032,533.871
28,29,107.83871,22.203226,538.4516
28,30,107.67742,22.180645000000002,543.5484
28,31,106.51613,22.383871,547.6129
28,32,105.48387,22.603226,554.4194
28,33,105.19355,22.71613,553.1613
28,34,104.48387,22.648388,550.8387
28,35,104.77419,22.580645,555.70966
28,36,103.09676999999999,22.622581,557.80646
28,37,102.35483599999999,22.838708999999998,554.29034
28,38,101.41936,22.82258,550.0968
28,39,101.548386,22.767742000000002,547.5806
28,40,104.48387,22.393549,548.25806
